                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0213,                0.71728,                0.91636,                 1.1668,                 0.8579,                 0.9326,                0.68592,                0.59107,                0.61519,                0.46731,                 1.0786,                0.88201,                0.93363,                 1.1816,                 1.0844,                 0.9674,               0.070009,              0.0033324,              0.0033324
                      2,                0.94677,                0.56233,                0.89543,                  1.083,                 0.5676,                0.90984,                0.71381,                0.53582,                0.58835,                0.44663,                 1.1116,                0.89482,                0.96013,                 1.2323,                 1.0942,                 0.9899,               0.039877,              0.0065337,              0.0065337
                      3,                0.95061,                0.56468,                0.90136,                 1.0898,                0.56345,                0.91833,                0.68524,                0.61698,                0.63522,                0.47091,                 1.1013,                0.89293,                0.96914,                 1.2158,                 1.1325,                 1.0127,              0.0096128,              0.0096031,              0.0096031
                      4,                0.92523,                0.53986,                    0.9,                 1.0641,                0.53558,                0.91836,                0.73272,                0.55405,                0.60895,                0.46299,                 1.1071,                0.90479,                0.97235,                 1.2235,                 1.1327,                 1.0135,               0.009406,               0.009406,               0.009406
                      5,                0.88691,                0.49924,                0.89032,                 1.0175,                  0.488,                0.90712,                0.63143,                0.60081,                0.63036,                0.47529,                 1.1075,                0.87752,                  0.971,                 1.2224,                 1.1178,                 1.0073,               0.009406,               0.009406,               0.009406
                      6,                0.86138,                0.47322,                0.88371,                 0.9868,                0.45277,                0.89791,                0.67241,                0.58005,                0.59996,                0.45808,                 1.0995,                0.87307,                0.96604,                 1.2072,                 1.1347,                0.99829,               0.009208,               0.009208,               0.009208
                      7,                0.84182,                0.45403,                0.87922,                0.96224,                0.42997,                0.89119,                 0.7144,                0.58531,                0.63981,                0.48923,                 1.0863,                0.83544,                0.96085,                 1.1925,                 1.0798,                0.99393,                0.00901,                0.00901,                0.00901
                      8,                0.82719,                0.44116,                0.87476,                0.94487,                0.41446,                0.88713,                0.66125,                0.61588,                 0.6321,                0.48295,                  1.085,                0.81019,                0.95981,                 1.1813,                 1.0453,                0.99042,               0.008812,               0.008812,               0.008812
                      9,                0.81514,                0.42887,                 0.8721,                0.92974,                0.40246,                0.88353,                0.66115,                0.62553,                0.64643,                0.49564,                 1.0699,                0.79284,                0.95252,                 1.1697,                 1.0314,                0.98529,               0.008614,               0.008614,               0.008614
                     10,                0.80691,                 0.4208,                0.86976,                0.91988,                0.39224,                0.88048,                0.67523,                0.61635,                0.65061,                0.49515,                 1.0739,                0.82389,                0.95433,                 1.1732,                 1.0877,                0.98634,               0.008416,               0.008416,               0.008416
                     11,                0.79759,                0.41273,                0.86783,                0.90877,                 0.3822,                0.87853,                0.65653,                0.66077,                 0.6806,                0.52083,                 1.0704,                0.79847,                0.95588,                 1.1714,                 1.0436,                0.98778,               0.008218,               0.008218,               0.008218
                     12,                0.78987,                0.40676,                0.86569,                0.89898,                0.37242,                0.87653,                0.67767,                0.62096,                0.66035,                0.50616,                 1.0633,                0.81373,                0.95393,                 1.1608,                 1.0661,                  0.986,                0.00802,                0.00802,                0.00802
                     13,                 0.7845,                0.40187,                0.86364,                0.89374,                0.36899,                0.87325,                0.72632,                0.58561,                0.65191,                0.49863,                 1.0715,                 0.8093,                0.95507,                 1.1694,                 1.0623,                0.98561,               0.007822,               0.007822,               0.007822
                     14,                0.77842,                0.39672,                0.86168,                0.88608,                0.36417,                0.87054,                0.67409,                 0.6184,                0.64977,                0.49908,                 1.0675,                0.80363,                0.95468,                 1.1644,                 1.0619,                 0.9846,               0.007624,               0.007624,               0.007624
                     15,                0.77016,                0.39024,                0.86094,                0.87523,                0.35524,                0.86982,                0.69505,                0.60941,                0.64747,                0.49524,                 1.0693,                0.79943,                0.95513,                 1.1661,                 1.0583,                0.98611,               0.007426,               0.007426,               0.007426
                     16,                0.76498,                 0.3867,                 0.8597,                 0.8701,                0.35262,                0.86834,                 0.7012,                0.60952,                0.64989,                0.49828,                 1.0668,                0.79611,                0.95416,                 1.1644,                 1.0553,                0.98529,               0.007228,               0.007228,               0.007228
                     17,                0.75858,                0.38184,                0.85808,                0.86314,                0.34968,                0.86647,                0.66715,                0.62968,                0.65281,                0.50024,                 1.0646,                0.79411,                0.95333,                 1.1621,                 1.0535,                0.98479,                0.00703,                0.00703,                0.00703
                     18,                0.75456,                0.37955,                 0.8568,                0.85755,                0.34492,                0.86547,                0.70715,                0.61255,                0.65681,                0.50097,                 1.0656,                0.79494,                0.95413,                 1.1619,                 1.0562,                0.98525,               0.006832,               0.006832,               0.006832
                     19,                0.74772,                0.37557,                0.85512,                0.85082,                0.34152,                0.86418,                0.70411,                0.61098,                0.65928,                0.50202,                 1.0651,                 0.7951,                0.95391,                  1.162,                 1.0558,                0.98521,               0.006634,               0.006634,               0.006634
                     20,                0.74305,                0.37148,                0.85403,                 0.8467,                 0.3384,                0.86212,                0.66629,                 0.6305,                0.66143,                0.50354,                  1.064,                0.79392,                 0.9531,                 1.1603,                 1.0543,                0.98424,               0.006436,               0.006436,               0.006436
                     21,                0.73844,                0.36969,                0.85347,                 0.8395,                0.33473,                0.86139,                0.67199,                0.62782,                0.66418,                 0.5051,                 1.0639,                0.79593,                0.95278,                 1.1594,                 1.0575,                0.98368,               0.006238,               0.006238,               0.006238
                     22,                0.73254,                 0.3654,                 0.8521,                  0.833,                0.33034,                0.85989,                0.65229,                0.63548,                0.66161,                0.50412,                 1.0641,                0.79834,                0.95246,                 1.1595,                 1.0593,                0.98317,                0.00604,                0.00604,                0.00604
                     23,                0.72786,                0.36226,                0.85075,                0.82772,                 0.3255,                0.85892,                0.65177,                0.63246,                 0.6573,                0.50246,                 1.0645,                0.80048,                0.95242,                 1.1598,                 1.0616,                0.98296,               0.005842,               0.005842,               0.005842
                     24,                0.72338,                0.35886,                0.85057,                0.82323,                 0.3227,                0.85883,                0.67228,                0.61555,                 0.6533,                0.50015,                 1.0643,                 0.8001,                0.95205,                 1.1589,                 1.0602,                0.98225,               0.005644,               0.005644,               0.005644
