                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1795,                0.99692,                0.98575,                 1.3204,                 1.3957,                 1.0113,                0.53291,                0.54201,                0.50316,                0.37535,                 1.1271,                 1.0108,                 0.9546,                 1.2366,                 1.2622,                      1,               0.066758,             3.3275e-05,             3.3275e-05
                      2,                 1.0592,                0.70037,                0.94645,                 1.1967,                0.86016,                0.97243,                0.53379,                0.56723,                0.52439,                0.39863,                 1.0977,                0.93349,                0.94345,                 1.2058,                 1.1708,                0.98121,               0.033457,             6.5289e-05,             6.5289e-05
                      3,                 1.0003,                0.62232,                0.92427,                 1.1261,                0.72581,                0.94448,                0.56628,                0.53241,                0.54307,                 0.4128,                 1.1145,                0.94744,                0.94269,                 1.2241,                 1.1685,                0.98345,             0.00015446,             9.5984e-05,             9.5984e-05
                      4,                0.95651,                0.57861,                0.91544,                  1.082,                0.66076,                0.93348,                0.61569,                0.53749,                0.56605,                0.43337,                 1.1147,                0.90503,                0.94636,                 1.2043,                 1.1284,                0.98256,              9.406e-05,              9.406e-05,              9.406e-05
                      5,                0.93522,                0.55811,                 0.9077,                 1.0598,                0.62662,                0.92444,                0.59134,                0.56409,                0.55999,                0.42542,                 1.0916,                0.93103,                0.93973,                 1.1953,                 1.1747,                 0.9755,              9.406e-05,              9.406e-05,              9.406e-05
                      6,                0.89574,                0.52676,                0.89634,                 1.0127,                0.57613,                0.91221,                0.61959,                0.55351,                0.56754,                0.42728,                 1.1122,                0.91034,                0.95039,                 1.2083,                   1.16,                0.98464,              9.208e-05,              9.208e-05,              9.208e-05
                      7,                0.87052,                0.51361,                0.88964,                 0.9899,                0.56127,                0.90351,                0.60599,                0.55624,                0.55994,                0.42563,                 1.1097,                0.93168,                0.94841,                 1.1992,                  1.177,                 0.9787,               9.01e-05,               9.01e-05,               9.01e-05
                      8,                0.86364,                0.50609,                0.88942,                0.97696,                 0.5454,                0.90386,                 0.6022,                 0.5562,                0.56459,                0.42594,                 1.1184,                0.91766,                0.94689,                 1.2227,                 1.1781,                0.98195,              8.812e-05,              8.812e-05,              8.812e-05
                      9,                0.83741,                0.48588,                0.88235,                0.95394,                 0.5192,                0.89637,                0.63147,                0.56077,                0.57552,                 0.4316,                  1.111,                0.92483,                0.94778,                 1.2153,                 1.1817,                0.98204,              8.614e-05,              8.614e-05,              8.614e-05
                     10,                0.83017,                0.47311,                0.88026,                 0.9411,                0.49817,                0.89425,                0.62025,                0.58207,                0.58072,                0.44414,                 1.0998,                0.93433,                0.94236,                 1.1996,                 1.2053,                0.97944,              8.416e-05,              8.416e-05,              8.416e-05
                     11,                0.81374,                0.46621,                 0.8759,                 0.9233,                0.48652,                0.88805,                0.63714,                0.59418,                0.59259,                0.44275,                  1.138,                0.95157,                 0.9568,                 1.2345,                 1.1818,                0.98719,              8.218e-05,              8.218e-05,              8.218e-05
                     12,                 0.8037,                0.45876,                0.87422,                0.91271,                0.47271,                0.88521,                0.65978,                0.56039,                0.57679,                0.43923,                 1.1089,                0.91618,                0.94943,                 1.2168,                 1.1716,                0.98614,               8.02e-05,               8.02e-05,               8.02e-05
                     13,                0.78741,                0.44745,                0.87112,                0.89488,                0.46141,                0.88219,                0.58094,                0.55463,                0.55155,                0.41741,                 1.1083,                0.96864,                0.95135,                 1.2044,                 1.2407,                0.98298,              7.822e-05,              7.822e-05,              7.822e-05
                     14,                0.78348,                0.44139,                0.86978,                0.89004,                0.45513,                0.88152,                0.60275,                0.57449,                0.57121,                0.43436,                  1.103,                0.93816,                0.94634,                 1.1968,                 1.1923,                0.97915,              7.624e-05,              7.624e-05,              7.624e-05
                     15,                0.77375,                 0.4365,                0.86807,                0.88321,                 0.4492,                0.87998,                0.59121,                0.55935,                0.55394,                0.42027,                 1.1172,                0.96511,                 0.9565,                 1.2214,                 1.2277,                0.98996,              7.426e-05,              7.426e-05,              7.426e-05
                     16,                0.76539,                0.43111,                0.86533,                0.87145,                0.43776,                0.87715,                0.62996,                0.55064,                0.57341,                0.43687,                 1.1051,                0.91307,                0.94991,                  1.208,                 1.1947,                0.98502,              7.228e-05,              7.228e-05,              7.228e-05
                     17,                0.75444,                0.42551,                0.86314,                0.85985,                0.43583,                 0.8744,                0.62296,                0.55828,                0.56872,                0.43442,                 1.0934,                0.96435,                0.94713,                 1.1959,                 1.1861,                0.98276,               7.03e-05,               7.03e-05,               7.03e-05
                     18,                0.74024,                0.41806,                 0.8592,                0.84492,                0.42295,                0.87042,                 0.6401,                0.55056,                0.56735,                0.43161,                 1.1004,                0.93341,                0.94478,                 1.2038,                 1.2088,                0.98203,              6.832e-05,              6.832e-05,              6.832e-05
                     19,                0.73741,                0.41385,                0.85924,                0.84341,                0.41472,                0.87002,                0.63359,                 0.5452,                0.56877,                0.42842,                 1.1231,                0.93949,                0.95234,                 1.2271,                 1.1808,                0.98854,              6.634e-05,              6.634e-05,              6.634e-05
                     20,                0.73221,                0.40968,                0.85752,                0.83486,                0.41239,                0.86775,                0.61328,                0.55642,                0.55968,                0.42672,                 1.0967,                0.91604,                0.93985,                 1.2004,                 1.1738,                0.97311,              6.436e-05,              6.436e-05,              6.436e-05
