                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2777,                 1.8161,                 1.0238,                 1.4261,                  3.029,                 1.0236,                0.65287,                0.44321,                0.42057,                0.31948,                 1.0618,                 1.2397,                0.94494,                 1.1695,                  1.549,                 0.9771,               0.070395,              0.0032895,              0.0032895
                      2,                 1.1899,                 1.1267,                0.97109,                 1.3333,                 1.3352,                0.99475,                0.51278,                0.51304,                0.46529,                0.34998,                 1.1277,                 1.8071,                0.95805,                 1.2438,                 2.0688,                0.99957,               0.040264,              0.0064917,              0.0064917
                      3,                 1.2652,                 1.1056,                0.98436,                 1.4028,                 1.3441,                 1.0033,                0.51198,                0.51022,                 0.4901,                0.35056,                 1.3302,                 2.2859,                 1.0059,                 1.4454,                 1.4466,                 1.0507,                   0.01,              0.0095619,              0.0095619
                      4,                 1.2824,                  1.135,                0.99331,                  1.425,                 1.1369,                 1.0152,                0.71673,                0.43966,                0.47455,                0.34216,                 1.3691,                 1.2842,                 1.0136,                 1.4335,                 1.7217,                 1.0423,               0.009406,               0.009406,               0.009406
                      5,                 1.2533,                0.95048,                0.97916,                  1.405,                 1.0625,                 1.0056,                0.65928,                0.48928,                0.49868,                0.36131,                 1.2726,                 1.2013,                 1.0039,                 1.3791,                 1.4618,                  1.056,               0.009406,               0.009406,               0.009406
                      6,                  1.232,                0.86015,                0.97673,                 1.3723,                 1.0209,                0.99717,                0.65266,                0.47776,                0.50905,                0.36708,                 1.1825,                 1.1153,                 1.0025,                 1.3324,                 1.3545,                  1.044,               0.009208,               0.009208,               0.009208
                      7,                 1.1993,                0.81413,                0.96983,                 1.3565,                0.88089,                0.98712,                0.61049,                0.52904,                0.52244,                0.37711,                 1.3337,                 1.0789,                 1.0151,                 1.4154,                 1.4476,                 1.0555,                0.00901,                0.00901,                0.00901
                      8,                 1.1771,                0.78134,                 0.9659,                 1.3401,                0.83716,                0.98463,                0.57759,                0.52563,                0.54422,                0.39091,                 1.2942,                 1.0662,                 1.0061,                 1.3787,                 1.2408,                 1.0413,               0.008812,               0.008812,               0.008812
                      9,                 1.1641,                0.76189,                0.96036,                 1.3272,                0.82892,                0.98039,                0.57415,                0.50552,                0.50649,                 0.3627,                 1.2255,                 1.0508,                 1.0057,                  1.351,                 1.3089,                 1.0447,               0.008614,               0.008614,               0.008614
                     10,                 1.1558,                0.76688,                0.96188,                 1.3139,                0.82954,                0.98426,                0.63146,                0.52736,                0.54621,                0.39703,                 1.2942,                 1.1153,                 1.0154,                 1.3947,                 1.3482,                 1.0584,               0.008416,               0.008416,               0.008416
                     11,                 1.1507,                0.72027,                0.95383,                 1.2908,                0.77077,                0.97621,                0.63284,                0.56324,                 0.5785,                0.42051,                 1.1794,                  1.011,                0.98822,                 1.3186,                 1.2137,                 1.0356,               0.008218,               0.008218,               0.008218
                     12,                 1.1081,                0.71132,                0.95617,                 1.2688,                0.76436,                0.97798,                0.57478,                0.48569,                0.49139,                0.35506,                  1.233,                  1.215,                 1.0122,                 1.3589,                  1.477,                 1.0475,                0.00802,                0.00802,                0.00802
                     13,                 1.0976,                0.73504,                 0.9494,                 1.2666,                0.77382,                0.96508,                0.64301,                0.53556,                0.52879,                0.38611,                  1.218,                 1.0355,                0.99841,                 1.3415,                 1.3079,                 1.0352,               0.007822,               0.007822,               0.007822
                     14,                 1.0671,                0.69555,                0.93685,                 1.2375,                0.74739,                 0.9542,                 0.5683,                0.52714,                0.52114,                0.37684,                 1.2032,                 1.0315,                0.99635,                 1.3245,                 1.2305,                 1.0285,               0.007624,               0.007624,               0.007624
                     15,                 1.1115,                0.68638,                0.94275,                 1.2742,                0.71817,                0.95988,                0.59643,                0.51601,                0.52253,                0.38184,                 1.1785,                 1.0392,                0.99434,                 1.3187,                 1.2815,                 1.0269,               0.007426,               0.007426,               0.007426
                     16,                 1.0686,                0.66219,                0.94152,                 1.2205,                0.70723,                0.96556,                 0.6512,                0.50729,                0.52763,                  0.393,                 1.1241,                0.96669,                0.98469,                 1.2808,                 1.2299,                  1.032,               0.007228,               0.007228,               0.007228
                     17,                 1.0514,                0.66115,                0.94197,                 1.2064,                0.69225,                0.96767,                0.66329,                 0.4979,                0.50956,                0.37107,                 1.2086,                 1.0906,                 1.0069,                 1.3371,                  1.309,                 1.0466,                0.00703,                0.00703,                0.00703
                     18,                 1.0383,                0.63883,                0.93136,                 1.1862,                0.65824,                0.95249,                0.63023,                0.51438,                0.53619,                0.38671,                 1.1903,                 1.0159,                 1.0038,                  1.338,                 1.2521,                 1.0467,               0.006832,               0.006832,               0.006832
                     19,                 1.0222,                0.62383,                0.92909,                 1.1819,                0.65494,                0.95246,                0.58226,                0.53305,                0.54136,                 0.3861,                 1.2282,                 1.0583,                0.99794,                 1.3573,                 1.4068,                 1.0389,               0.006634,               0.006634,               0.006634
                     20,                 1.0259,                0.61754,                0.92489,                 1.1833,                0.65325,                0.94642,                0.73392,                0.49013,                0.52325,                0.37973,                 1.2714,                 1.0449,                 1.0094,                 1.3878,                 1.2846,                 1.0484,               0.006436,               0.006436,               0.006436
                     21,                 1.0372,                0.62216,                0.92829,                 1.1895,                0.65575,                0.95079,                0.54676,                0.51487,                0.50517,                0.36917,                 1.1914,                 1.0197,                0.98731,                 1.3255,                 1.2487,                 1.0299,               0.006238,               0.006238,               0.006238
                     22,                0.99287,                0.60926,                0.92029,                 1.1544,                0.63679,                0.93961,                0.68074,                 0.4899,                0.50516,                0.37748,                 1.1441,                 1.0043,                0.98521,                 1.2692,                 1.2379,                 1.0199,                0.00604,                0.00604,                0.00604
                     23,                0.99981,                0.61722,                0.92764,                 1.1488,                0.63273,                0.94678,                0.62916,                0.52752,                0.53423,                0.39255,                 1.1856,                 1.0076,                0.99529,                 1.3193,                 1.2221,                 1.0258,               0.005842,               0.005842,               0.005842
                     24,                0.99732,                0.60618,                0.92133,                 1.1664,                0.63764,                0.93752,                0.58386,                0.50503,                0.51152,                0.37633,                 1.2108,                 1.0224,                0.99416,                 1.3398,                 1.2487,                 1.0324,               0.005644,               0.005644,               0.005644
                     25,                0.97422,                0.58123,                0.91574,                 1.1231,                0.60106,                0.93569,                0.62334,                0.52884,                0.53739,                 0.3966,                 1.1884,                 1.0062,                0.98867,                 1.3191,                 1.2575,                 1.0251,               0.005446,               0.005446,               0.005446
                     26,                0.97228,                0.58471,                0.91203,                 1.1275,                0.60702,                0.93366,                0.66399,                0.50867,                0.54093,                0.40438,                 1.1443,                0.99438,                0.98367,                 1.2732,                 1.2238,                 1.0191,               0.005248,               0.005248,               0.005248
                     27,                0.94566,                0.58201,                0.90906,                  1.096,                0.59946,                0.92577,                0.66494,                 0.5244,                0.52876,                0.39503,                 1.1261,                 1.0261,                0.98196,                 1.2446,                 1.2731,                 1.0123,                0.00505,                0.00505,                0.00505
                     28,                0.94728,                 0.5815,                0.90945,                 1.0953,                0.59535,                0.92687,                0.60846,                0.52846,                0.52395,                0.39183,                 1.1155,                0.99263,                0.97137,                 1.2418,                 1.2534,                 1.0044,               0.004852,               0.004852,               0.004852
                     29,                 0.9434,                0.56669,                0.91177,                 1.0977,                 0.5932,                0.93063,                0.67975,                0.51291,                0.53932,                0.39409,                 1.1831,                0.98155,                0.99437,                 1.3069,                 1.1952,                 1.0292,               0.004654,               0.004654,               0.004654
                     30,                  0.935,                0.55398,                0.90681,                 1.0791,                0.57457,                0.92544,                0.65938,                0.51187,                0.53056,                0.39487,                 1.1586,                 1.0089,                0.98407,                 1.2713,                 1.2281,                 1.0108,               0.004456,               0.004456,               0.004456
                     31,                0.90283,                0.54104,                0.89701,                 1.0493,                0.54905,                0.91087,                0.64162,                0.52679,                0.54108,                0.40437,                 1.1672,                 1.0179,                0.99026,                 1.2776,                 1.2411,                 1.0159,               0.004258,               0.004258,               0.004258
                     32,                 0.8977,                0.53558,                0.89733,                 1.0345,                0.54273,                0.91185,                0.64049,                0.52699,                0.54964,                0.40787,                 1.1681,                0.98335,                0.98997,                 1.2739,                 1.2149,                 1.0139,                0.00406,                0.00406,                0.00406
                     33,                0.90358,                0.52971,                0.89251,                 1.0558,                0.55134,                0.90567,                0.61719,                 0.5385,                0.57064,                0.42828,                 1.1559,                0.97371,                 0.9843,                 1.2751,                 1.1982,                 1.0127,               0.003862,               0.003862,               0.003862
                     34,                0.88231,                0.53046,                0.89096,                 1.0299,                0.54749,                0.90768,                0.59059,                0.54798,                0.54756,                0.41189,                 1.1519,                0.99101,                0.98354,                 1.2568,                 1.2282,                 1.0071,               0.003664,               0.003664,               0.003664
                     35,                 0.8909,                0.52618,                0.89725,                   1.03,                0.54814,                0.91343,                0.65274,                0.51928,                0.56088,                0.42001,                  1.146,                0.95605,                0.98534,                 1.2614,                 1.1565,                 1.0168,               0.003466,               0.003466,               0.003466
                     36,                0.87062,                0.51063,                0.89159,                  1.004,                 0.5189,                0.90611,                0.67158,                0.52516,                0.55769,                 0.4206,                 1.1455,                  0.967,                 0.9796,                 1.2543,                  1.191,                 1.0096,               0.003268,               0.003268,               0.003268
                     37,                 0.8727,                0.51112,                0.88787,                 1.0167,                0.52822,                0.90451,                0.60853,                0.56328,                0.55932,                0.42351,                 1.1314,                0.95758,                0.97787,                 1.2424,                 1.1844,                 1.0111,                0.00307,                0.00307,                0.00307
                     38,                0.85651,                0.50078,                0.88664,                0.99423,                0.50236,                0.90177,                 0.6606,                0.51538,                0.55831,                0.41853,                 1.1527,                0.96459,                0.98424,                 1.2592,                 1.1779,                 1.0121,               0.002872,               0.002872,               0.002872
                     39,                 0.8517,                0.49246,                0.89127,                0.97984,                0.48811,                0.90668,                0.68977,                0.52236,                0.56551,                0.42806,                 1.1475,                 0.9987,                0.98422,                 1.2554,                 1.2385,                 1.0112,               0.002674,               0.002674,               0.002674
                     40,                0.84401,                0.49289,                0.88136,                0.97381,                0.49336,                 0.8942,                0.70927,                0.53137,                0.56916,                0.43158,                  1.149,                0.97075,                0.98549,                 1.2593,                 1.1853,                 1.0143,               0.002476,               0.002476,               0.002476
                     41,                0.78823,                0.42688,                0.86108,                0.88498,                0.38163,                0.87187,                 0.6076,                0.52396,                0.52712,                0.39574,                  1.165,                 1.0276,                0.99208,                 1.2774,                 1.2843,                 1.0206,               0.002476,               0.002476,               0.002476
                     42,                0.77644,                0.42076,                0.85848,                0.88092,                0.37257,                0.86845,                0.66705,                 0.5255,                0.53965,                0.40078,                 1.1642,                 1.0119,                0.98493,                 1.2814,                 1.2691,                 1.0142,                0.00208,                0.00208,                0.00208
                     43,                0.76153,                0.41442,                0.85596,                0.86178,                0.36243,                0.86696,                0.68021,                0.51736,                0.52186,                 0.3865,                 1.1671,                 1.0433,                0.98362,                 1.2848,                 1.3283,                 1.0146,               0.001882,               0.001882,               0.001882
                     44,                0.75201,                0.40407,                0.84872,                0.85681,                0.35684,                0.85964,                0.67011,                0.52138,                0.54885,                0.41417,                  1.151,                 1.0278,                0.97908,                 1.2773,                 1.2843,                 1.0096,               0.001684,               0.001684,               0.001684
                     45,                0.73759,                0.39827,                0.84427,                0.83275,                0.34294,                 0.8545,                0.66921,                0.52545,                0.54793,                0.41664,                 1.1375,                 1.0275,                0.97762,                 1.2571,                 1.3101,                 1.0062,               0.001486,               0.001486,               0.001486
                     46,                0.74485,                0.39138,                0.85283,                0.84014,                0.33463,                0.86315,                0.69659,                 0.5282,                0.55046,                0.41927,                  1.144,                 1.0015,                0.98017,                 1.2594,                 1.3022,                 1.0096,               0.001288,               0.001288,               0.001288
                     47,                0.73616,                0.39103,                0.84904,                0.83506,                0.33552,                0.85803,                0.65968,                0.54036,                0.54957,                0.41814,                  1.148,                 1.0273,                0.98062,                 1.2592,                 1.3137,                 1.0086,                0.00109,                0.00109,                0.00109
                     48,                0.71584,                0.37667,                0.84136,                0.80975,                0.31425,                 0.8508,                0.66755,                0.52669,                0.54167,                0.41372,                 1.1341,                  1.049,                0.97732,                 1.2507,                 1.3574,                 1.0057,               0.000892,               0.000892,               0.000892
                     49,                0.70698,                0.37236,                0.84421,                0.79835,                0.31588,                0.85309,                0.67923,                0.52228,                0.54681,                0.41826,                 1.1374,                 1.0523,                0.98053,                 1.2489,                 1.3501,                 1.0071,               0.000694,               0.000694,               0.000694
                     50,                0.70783,                0.36777,                0.84949,                0.79506,                0.31364,                0.85781,                 0.6008,                0.51903,                0.54383,                0.41727,                 1.1475,                 1.0509,                0.98585,                 1.2545,                 1.3512,                 1.0114,               0.000496,               0.000496,               0.000496
                     51,                0.69325,                0.36162,                0.84144,                0.77286,                  0.296,                0.84985,                0.66846,                0.51939,                0.55407,                0.42502,                 1.1476,                 1.0545,                  0.985,                 1.2578,                 1.3577,                 1.0116,               0.000496,               0.000496,               0.000496
                     52,                0.69314,                0.36069,                0.84017,                0.78401,                0.30857,                0.84783,                0.65585,                0.53019,                0.55567,                 0.4277,                 1.1414,                 1.0525,                0.98362,                 1.2533,                  1.358,                 1.0117,                 0.0001,                 0.0001,                 0.0001
