                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0541,                0.78038,                0.93425,                 1.2214,                0.97029,                0.95346,                0.60389,                0.53152,                0.56009,                0.43221,                 1.0725,                0.90755,                0.94354,                  1.178,                 1.1113,                0.97493,                0.07001,              0.0033322,              0.0033322
                      2,                 0.9787,                0.60052,                0.90936,                 1.1341,                0.64537,                0.92604,                0.65038,                0.57658,                0.60313,                0.45696,                 1.0959,                0.87497,                0.95786,                 1.2111,                 1.0906,                0.98969,               0.039878,              0.0065336,              0.0065336
                      3,                0.98446,                0.59686,                 0.9149,                  1.138,                0.62636,                0.93258,                0.57862,                0.61741,                0.60114,                0.44786,                 1.1075,                0.93724,                 0.9765,                 1.2293,                 1.1745,                 1.0171,              0.0096138,               0.009603,               0.009603
                      4,                0.96526,                0.58615,                0.91478,                  1.123,                0.61067,                0.93466,                0.58394,                0.60043,                0.59655,                0.44695,                 1.1231,                0.87363,                0.97754,                 1.2349,                 1.0914,                 1.0129,               0.009406,               0.009406,               0.009406
                      5,                0.92018,                0.54408,                0.90311,                 1.0714,                0.55565,                0.92256,                0.59168,                0.61185,                0.60572,                0.45337,                 1.1238,                0.91874,                0.97877,                 1.2373,                 1.1675,                 1.0188,               0.009406,               0.009406,               0.009406
                      6,                0.89004,                0.51384,                0.89485,                  1.038,                0.52061,                 0.9133,                0.60089,                0.61712,                0.60299,                0.45083,                 1.1101,                0.92642,                0.97329,                 1.2256,                 1.1945,                 1.0156,               0.009208,               0.009208,               0.009208
                      7,                 0.8666,                0.49204,                0.88862,                 1.0084,                0.49092,                0.90576,                0.67906,                0.53904,                0.57693,                0.43857,                 1.1168,                0.90924,                0.97798,                 1.2375,                 1.1826,                  1.017,                0.00901,                0.00901,                0.00901
                      8,                0.85256,                0.47662,                0.88574,                0.99066,                0.47392,                0.90232,                0.67856,                0.56933,                0.60387,                0.45593,                 1.1225,                0.96076,                0.98343,                 1.2456,                  1.293,                 1.0232,               0.008812,               0.008812,               0.008812
                      9,                0.84016,                0.46541,                0.88196,                0.97606,                0.45872,                0.89833,                0.68431,                0.61883,                 0.6435,                 0.4935,                 1.1004,                0.91074,                0.97018,                 1.2132,                 1.2003,                 1.0108,               0.008614,               0.008614,               0.008614
                     10,                0.82482,                0.45215,                0.87777,                0.95953,                0.44451,                0.89341,                0.67423,                0.63628,                0.64797,                 0.5037,                 1.0868,                0.90979,                0.96832,                 1.2025,                 1.2347,                 1.0052,               0.008416,               0.008416,               0.008416
